,Usuario,Fecha,Descripción,Calificacion
0,Guada Franco,"hace un mes en
Google","El hotel está ubicado frente al zócalo, su interior es deslumbrante y además cuenta con una terraza desde la cual puede verse la catedral, el palacio nacional y la bandera.
Allí se puede comer y tomar algún rico trago mientras se aprecia el hermoso centro de la CDMX.
La comida es muy rica y el precio accesible.",5/5
1,RuedbisoN Amor 1000%,"una semana atrás en
Google","Comida gurmet, buen sazón y excelente servicio, precios acorde al lugar y una bella vista del zócalo!",5/5
2,Juan Pablo Pinzón,"hace un mes en
Google","Hotel emblemático de CDMX, si arquitectura es fascinante 😍🙌🏼
La terraza tiene la mejor vista del zócalo, el mejor ambiente y la mejor comida. Súper recomendable",5/5
3,Luz Sanchez,"3 semanas atrás en
Google","Vinimos por el desayuno buffet en la terraza. Buena comida y porciones. La atención de Diego y Marcelo excelente para darle un plus a la experiencia, además de que las recomendaciones fueron estupendas. Precio a Abril 2021 $320.",5/5
4,Daniel Andrade,"3 semanas atrás en
Google","Un lugar totalmente mágico. Lo recomiendo ampliamente. Los costos son un poco elevados, pero el lugar definitivamente lo vale.",5/5
5,Carlos Soto,"3 semanas atrás en
Google","El hotel es hermoso siempre lo ha Sido, afortunadamente lo conozco desde mi infancia y no deja de sorprender",5/5
6,Mel U,"una semana atrás en
Google","Pésimo servicio. Hoy me disponía a desayunar con mi bebé en las mesas que tienen asignadas afuera, porque en la terraza no tienen servicio a la carta, o al menos eso me dijeron. Necesitaba entrar al sanitario y cambiar a mi hija. Muy…",1/5
7,Alfredo Chavarria,"una semana atrás en
Google","Un lugar con historia, la terraza con buena comida y excelente servicio",5/5
8,Martin Mendez,"2 semanas atrás en
Google","El hotel impresionante, La vista desde la terraza es espectacular, el bar está justo a un costado puedes disfrutar de un vino, cerveza o cenar.

Te adoro cielo mío Ma del Pilar Verónica Araiza Fernandez",5/5
9,Lolita Vargas,"hace un mes en
Google","Delicioso desayuno! Excelente atención y
Una vista espectacular a la plancha del zócalo.",5/5
